onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	notes
60.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
65.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
70.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
75.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
80.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
85.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
90.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
95.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
100.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
105.84423828125	0.001	electrical_stimulation	monophasic	T17-T18	0.008	n/a
111.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
116.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
121.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
126.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
131.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
136.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
141.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
146.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
151.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
156.90673828125	0.001	electrical_stimulation	monophasic	T18-T19	0.008	n/a
162.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
167.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
172.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
177.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
182.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
187.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
192.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
197.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
202.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
207.96923828125	0.001	electrical_stimulation	monophasic	T19-T20	0.008	n/a
214.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
219.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
224.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
229.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
234.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
239.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
244.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
249.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
254.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
259.03125	0.001	electrical_stimulation	monophasic	T20-T21	0.008	n/a
265.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
270.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
275.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
280.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
285.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
290.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
295.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
300.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
305.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
310.10302734375	0.001	electrical_stimulation	monophasic	T21-T22	0.008	n/a
316.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
321.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
326.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
331.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
336.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
341.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
346.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
351.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
356.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
361.1650390625	0.001	electrical_stimulation	monophasic	T22-T23	0.008	n/a
367.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
372.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
377.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
382.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
387.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
392.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
397.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
402.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
407.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
412.22802734375	0.001	electrical_stimulation	monophasic	T23-T24	0.008	n/a
