onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	notes
16.98779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
21.9873046875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
26.98681640625	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
31.986328125	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
36.98583984375	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
42.7353515625	0.001	electrical_stimulation	monophasic	F02-F01	0.008	n/a
47.73486328125	0.001	electrical_stimulation	monophasic	F02-F01	0.008	n/a
52.734375	0.001	electrical_stimulation	monophasic	F02-F01	0.008	n/a
57.73388671875	0.001	electrical_stimulation	monophasic	F02-F01	0.008	n/a
62.7333984375	0.001	electrical_stimulation	monophasic	F02-F01	0.008	n/a
74.4912109375	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
79.49072265625	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
84.490234375	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
89.48974609375	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
94.4892578125	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
100.2568359375	0.001	electrical_stimulation	monophasic	F03-F02	0.008	n/a
105.25634765625	0.001	electrical_stimulation	monophasic	F03-F02	0.008	n/a
110.255859375	0.001	electrical_stimulation	monophasic	F03-F02	0.008	n/a
115.25537109375	0.001	electrical_stimulation	monophasic	F03-F02	0.008	n/a
120.25537109375	0.001	electrical_stimulation	monophasic	F03-F02	0.008	n/a
132.00390625	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
137.00341796875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
142.00341796875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
147.0029296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
152.00244140625	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
157.90966796875	0.001	electrical_stimulation	monophasic	F04-F03	0.008	n/a
162.9091796875	0.001	electrical_stimulation	monophasic	F04-F03	0.008	n/a
167.90869140625	0.001	electrical_stimulation	monophasic	F04-F03	0.008	n/a
172.908203125	0.001	electrical_stimulation	monophasic	F04-F03	0.008	n/a
177.908203125	0.001	electrical_stimulation	monophasic	F04-F03	0.008	n/a
189.46826171875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
194.4677734375	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
199.46728515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
204.466796875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
209.46630859375	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
215.2158203125	0.001	electrical_stimulation	monophasic	F05-F04	0.008	n/a
220.21533203125	0.001	electrical_stimulation	monophasic	F05-F04	0.008	n/a
225.21484375	0.001	electrical_stimulation	monophasic	F05-F04	0.008	n/a
230.21435546875	0.001	electrical_stimulation	monophasic	F05-F04	0.008	n/a
235.2138671875	0.001	electrical_stimulation	monophasic	F05-F04	0.008	n/a
246.931640625	0.001	electrical_stimulation	monophasic	F05-F06	0.008	n/a
251.931640625	0.001	electrical_stimulation	monophasic	F05-F06	0.008	n/a
