onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	notes
50.2099609375	0.001	electrical_stimulation	monophasic	C01-C02	0.008	n/a
55.20947265625	0.001	electrical_stimulation	monophasic	C01-C02	0.008	n/a
60.208984375	0.001	electrical_stimulation	monophasic	C01-C02	0.008	n/a
65.20849609375	0.001	electrical_stimulation	monophasic	C01-C02	0.008	n/a
70.2080078125	0.001	electrical_stimulation	monophasic	C01-C02	0.008	n/a
75.94921875	0.001	electrical_stimulation	monophasic	C02-C01	0.008	n/a
80.94873046875	0.001	electrical_stimulation	monophasic	C02-C01	0.008	n/a
85.9482421875	0.001	electrical_stimulation	monophasic	C02-C01	0.008	n/a
90.94775390625	0.001	electrical_stimulation	monophasic	C02-C01	0.008	n/a
95.947265625	0.001	electrical_stimulation	monophasic	C02-C01	0.008	n/a
107.67333984375	0.001	electrical_stimulation	monophasic	C02-C03	0.008	n/a
112.6728515625	0.001	electrical_stimulation	monophasic	C02-C03	0.008	n/a
117.6728515625	0.001	electrical_stimulation	monophasic	C02-C03	0.008	n/a
122.67236328125	0.001	electrical_stimulation	monophasic	C02-C03	0.008	n/a
127.671875	0.001	electrical_stimulation	monophasic	C02-C03	0.008	n/a
133.42138671875	0.001	electrical_stimulation	monophasic	C03-C02	0.008	n/a
138.4208984375	0.001	electrical_stimulation	monophasic	C03-C02	0.008	n/a
143.42041015625	0.001	electrical_stimulation	monophasic	C03-C02	0.008	n/a
148.419921875	0.001	electrical_stimulation	monophasic	C03-C02	0.008	n/a
153.41943359375	0.001	electrical_stimulation	monophasic	C03-C02	0.008	n/a
165.2958984375	0.001	electrical_stimulation	monophasic	C03-C04	0.008	n/a
170.29541015625	0.001	electrical_stimulation	monophasic	C03-C04	0.008	n/a
175.294921875	0.001	electrical_stimulation	monophasic	C03-C04	0.008	n/a
180.29443359375	0.001	electrical_stimulation	monophasic	C03-C04	0.008	n/a
185.2939453125	0.001	electrical_stimulation	monophasic	C03-C04	0.008	n/a
190.88525390625	0.001	electrical_stimulation	monophasic	C04-C03	0.008	n/a
195.884765625	0.001	electrical_stimulation	monophasic	C04-C03	0.008	n/a
200.88427734375	0.001	electrical_stimulation	monophasic	C04-C03	0.008	n/a
