onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	status	status_description
270.32275390625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
275.25341796875	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
281.06640625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
286.5048828125	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
291.44189453125	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
296.8310546875	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
302.00927734375	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
306.79931640625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
311.43505859375	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
316.95068359375	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	noisy channels
348.2001953125	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
354.4658203125	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
360.06982421875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
364.142578125	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
368.6572265625	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
373.34912109375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
378.14990234375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
383.6708984375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
388.0341796875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
393.33740234375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
397.87255859375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
402.46044921875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
406.53125	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
411.0830078125	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	noisy channels
451.46142578125	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
456.58642578125	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
461.2314453125	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
465.84521484375	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
470.9384765625	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
477.3037109375	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
481.97412109375	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
486.25	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
490.5615234375	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
495.67041015625	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels
514.97119140625	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
520.08056640625	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
524.630859375	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
529.35400390625	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
533.80712890625	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
538.2021484375	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
541.9814453125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
546.46533203125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
550.8330078125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
554.83251953125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	noisy channels
580.57177734375	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
585.02392578125	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
589.345703125	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
593.06298828125	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
599.44921875	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
604.380859375	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
610.56396484375	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
615.7353515625	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
621.4599609375	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
626.12548828125	0.0002	electrical_stimulation	biphasic	LG5-LG6	6.0 mA	good	noisy channels
643.2265625	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	bad	noisy channels
648.13330078125	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	bad	noisy channels
712.82373046875	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	bad	noisy channels
716.681640625	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	bad	noisy channels
721.33935546875	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	good	noisy channels
725.56005859375	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	good	noisy channels
730.2255859375	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	bad	noisy channels
734.47998046875	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	good	noisy channels
738.5048828125	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	good	noisy channels
742.01416015625	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	bad	noisy channels
746.033203125	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	good	noisy channels
748.99951171875	0.0002	electrical_stimulation	biphasic	LG6-LG7	6.0 mA	good	noisy channels
774.81640625	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	bad	noisy channels
780.263671875	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	noisy channels
