onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	notes
135.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
140.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
145.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
150.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
155.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
160.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
165.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
170.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
175.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
180.779296875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
186.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
191.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
196.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
201.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
206.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
211.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
216.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
221.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
226.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
231.94921875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
237.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
242.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
247.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
252.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
257.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
262.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
267.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
272.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
277.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
282.904296875	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
288.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
293.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
298.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
303.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
308.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
313.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
318.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
323.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
328.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
333.98388671875	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
340.029296875	0.001	electrical_stimulation	monophasic	F05-F06	0.008	n/a
345.029296875	0.001	electrical_stimulation	monophasic	F05-F06	0.008	n/a
