onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	notes
31.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
36.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
41.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
46.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
51.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
56.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
61.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
66.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
71.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
76.76513671875	0.001	electrical_stimulation	monophasic	F01-F02	0.008	n/a
82.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
87.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
92.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
97.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
102.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
107.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
112.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
117.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
122.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
127.560546875	0.001	electrical_stimulation	monophasic	F02-F03	0.008	n/a
133.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
138.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
143.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
148.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
153.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
158.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
163.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
168.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
173.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
178.76953125	0.001	electrical_stimulation	monophasic	F03-F04	0.008	n/a
184.68603515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
189.68603515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
194.68603515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
199.68603515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
204.68603515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
209.68603515625	0.001	electrical_stimulation	monophasic	F04-F05	0.008	n/a
