onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	status	status_description
348.9619140625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
354.55615234375	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
359.12255859375	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
364.00244140625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
369.81591796875	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
373.47509765625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
377.31689453125	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
381.263671875	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
385.3876953125	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
388.74462890625	0.0002	electrical_stimulation	biphasic	LG1-LG2	6.0 mA	good	n/a
407.55126953125	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
410.9921875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	bad	n/a
414.5263671875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	bad	n/a
418.3427734375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
422.06005859375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
425.83447265625	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
429.462890625	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
433.2685546875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
437.77294921875	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
442.21484375	0.0002	electrical_stimulation	biphasic	LG2-LG3	6.0 mA	good	n/a
462.271484375	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	n/a
466.18212890625	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	noisy channels after 3s
470.53466796875	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	bad	n/a
473.90869140625	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	n/a
480.185546875	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	n/a
484.93994140625	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	n/a
488.4013671875	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	n/a
493.13427734375	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	artifact after 2s
497.94775390625	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	bad	n/a
502.20654296875	0.0002	electrical_stimulation	biphasic	LG3-LG4	6.0 mA	good	n/a
523.43603515625	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
527.8203125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
532.71142578125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
537.673828125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
544.37255859375	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
548.97607421875	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
555.7646484375	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
559.751953125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
564.26611328125	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
570.29248046875	0.0002	electrical_stimulation	biphasic	LG4-LG5	6.0 mA	good	n/a
593.06103515625	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
601.2197265625	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
605.57373046875	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
610.51611328125	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	bad	n/a
615.77001953125	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
620.1181640625	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	bad	n/a
624.73193359375	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	bad	n/a
629.7314453125	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
633.40673828125	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
638.13037109375	0.0002	electrical_stimulation	biphasic	LG7-LG8	6.0 mA	good	n/a
655.9814453125	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
661.68505859375	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
666.8828125	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
671.72607421875	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
676.68408203125	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
681.1357421875	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
685.70849609375	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
690.05078125	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
694.0126953125	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	good	n/a
698.43408203125	0.0002	electrical_stimulation	biphasic	LG8-LG9	6.0 mA	bad	noise during onset
724.1572265625	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
728.2080078125	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
732.35791015625	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
736.3203125	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
741.71044921875	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
746.32958984375	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	bad	n/a
750.09375	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
754.978515625	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
758.94091796875	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
763.2314453125	0.0002	electrical_stimulation	biphasic	LG9-LG10	6.0 mA	good	n/a
786.416015625	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
791.3740234375	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
800.236328125	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
804.83984375	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	bad	n/a
808.5146484375	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	bad	n/a
812.36279296875	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
816.361328125	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
821.3974609375	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
825.11474609375	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
828.9619140625	0.0002	electrical_stimulation	biphasic	LG10-LG11	6.0 mA	good	n/a
855.5615234375	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
860.0546875	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
864.22509765625	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
868.4853515625	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
872.7861328125	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
878.5625	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	bad	n/a
882.60791015625	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
887.013671875	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	bad	n/a
891.6787109375	0.0002	electrical_stimulation	biphasic	LG11-LG12	6.0 mA	good	n/a
