onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	status	status_description
116.654296875	0.0002	electrical_stimulation	biphasic	LPS1-LPS2	6.0 mA	good	n/a
124.7822265625	0.0002	electrical_stimulation	biphasic	LPS1-LPS2	6.0 mA	bad	n/a
130.63134765625	0.0002	electrical_stimulation	biphasic	LPS1-LPS2	6.0 mA	good	odd peaks on the bottom
178.31298828125	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
183.20361328125	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
187.837890625	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
192.19091796875	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
196.42431640625	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
201.142578125	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
204.57275390625	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
208.82666015625	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	bad	n/a
212.404296875	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
217.01708984375	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
234.3095703125	0.0002	electrical_stimulation	biphasic	LPG1-LPG2	6.0 mA	good	n/a
263.390625	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
267.96337890625	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
272.1611328125	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
275.611328125	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
280.22509765625	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
284.0673828125	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	bad	n/a
288.2587890625	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
292.01220703125	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
296.4072265625	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
300.734375	0.0002	electrical_stimulation	biphasic	LPG2-LPG3	6.0 mA	good	n/a
323.76708984375	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
327.2236328125	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	epileptic activity
330.84765625	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
334.49169921875	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
338.6884765625	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
342.81103515625	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
346.6171875	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
350.01171875	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
354.046875	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	n/a
357.33544921875	0.0002	electrical_stimulation	biphasic	LPG3-LPG4	6.0 mA	good	small artif after 2s
376.29296875	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	n/a
379.6767578125	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	waveforms on the bottom
383.70654296875	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	n/a
387.595703125	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	n/a
390.51513671875	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	n/a
394.373046875	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	n/a
397.94921875	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	n/a
401.65625	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	waveforms on the bottom
405.38818359375	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	waveforms on the bottom
409.19970703125	0.0002	electrical_stimulation	biphasic	LPG5-LPG6	6.0 mA	good	epileptic activity
438.33837890625	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
442.0751953125	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
445.45361328125	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
448.92626953125	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
452.3896484375	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	bad	n/a
457.08447265625	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	bad	n/a
463.65283203125	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
467.2607421875	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
471.81298828125	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
476.85302734375	0.0002	electrical_stimulation	biphasic	LPG6-LPG7	6.0 mA	good	n/a
501.83740234375	0.0002	electrical_stimulation	biphasic	LFG7-LPG8	6.0 mA	good	n/a
520.25	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
538.892578125	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
559.73095703125	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
564.80859375	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
569.09326171875	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
573.41064453125	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
579.03564453125	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
582.080078125	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	artifact after 3s
586.7666015625	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	bad	n/a
591.2978515625	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
596.615234375	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
601.318359375	0.0002	electrical_stimulation	biphasic	LPG7-LPG8	6.0 mA	good	n/a
621.56689453125	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
625.46142578125	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
628.8544921875	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
632.7548828125	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
636.22705078125	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
640.4853515625	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
644.8134765625	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
648.791015625	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
652.96142578125	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
656.58935546875	0.0002	electrical_stimulation	biphasic	LPG9-LPG10	6.0 mA	good	n/a
676.00537109375	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	n/a
681.25048828125	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	noisy&artifact by the end
686.07763671875	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	n/a
690.529296875	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	n/a
695.68017578125	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	epileptic activity
700.189453125	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	bad	EpAct before stim
705.673828125	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	n/a
708.84912109375	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	bad	odd waveforms
713.84912109375	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	bad	noisy bef-stim
722.16943359375	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	n/a
729.96826171875	0.0002	electrical_stimulation	biphasic	LPG10-LPG11	6.0 mA	good	n/a
758.6318359375	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
763.63671875	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
770.29931640625	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
775.82080078125	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	epileptic activity
781.0751953125	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
786.18408203125	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
791.4404296875	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
796.255859375	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
800.72900390625	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
805.8798828125	0.0002	electrical_stimulation	biphasic	LPG11-LPG12	6.0 mA	good	n/a
829.63916015625	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
832.9443359375	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
837.490234375	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
843.00634765625	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	bad	n/a
847.54150390625	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	bad	n/a
852.78662109375	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
856.7744140625	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
862.41015625	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
865.71533203125	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
870.61083984375	0.0002	electrical_stimulation	biphasic	LPG13-LPG14	6.0 mA	good	n/a
886.330078125	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	n/a
891.7412109375	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	n/a
896.65771484375	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	n/a
902.939453125	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	artifact after 2.5s
908.89453125	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	bad	n/a
916.77490234375	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	n/a
922.0673828125	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	epileptic activity
926.91552734375	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	bad	wrong stim onset
931.75830078125	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	n/a
937.10693359375	0.0002	electrical_stimulation	biphasic	LPG14-LPG15	6.0 mA	good	n/a
959.7724609375	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	n/a
964.85546875	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	n/a
968.9375	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	n/a
972.0595703125	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	n/a
976.63330078125	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	waveforms on the bottom
980.7666015625	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	bad	n/a
985.13525390625	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	n/a
990.353515625	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	odd peaks on the bottom
994.83203125	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	n/a
999.16943359375	0.0002	electrical_stimulation	biphasic	LPG15-LPG16	6.0 mA	good	odd peaks on the bottom
1022.65576171875	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1027.19775390625	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1032.7119140625	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1037.38330078125	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1042.24755859375	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1046.04345703125	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1049.2138671875	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1054.3994140625	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1058.56103515625	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1063.78857421875	0.0002	electrical_stimulation	biphasic	LFG1-LFG2	6.0 mA	good	n/a
1078.5966796875	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1083.4599609375	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1087.833984375	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1092.48486328125	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1096.46728515625	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1100.23193359375	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1104.79296875	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1108.75048828125	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1113.7294921875	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1117.83154296875	0.0002	electrical_stimulation	biphasic	LFG2-LFG3	6.0 mA	good	n/a
1133.9208984375	0.0002	electrical_stimulation	biphasic	LFG3-LFG4	6.0 mA	good	n/a
1138.65966796875	0.0002	electrical_stimulation	biphasic	LFG3-LFG4	6.0 mA	good	n/a
1141.82421875	0.0002	electrical_stimulation	biphasic	LFG3-LFG4	6.0 mA	bad	odd peaks/noisy by the end
