onset	duration	trial_type	electrical_stimulation_type	electrical_stimulation_site	electrical_stimulation_current	status	status_description
510.07373046875	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
594.72705078125	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
601.4365234375	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
606.86376953125	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
612.99462890625	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
618.35400390625	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
624.25537109375	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
629.95849609375	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
635.41162109375	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
639.88427734375	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
645.5517578125	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
650.70263671875	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
657.0576171875	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
662.19775390625	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
667.41650390625	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
673.18212890625	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
678.3330078125	0.0002	electrical_stimulation	biphasic	LTG1-LTG2	6.0 mA	good	n/a
794.2060546875	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
799.33544921875	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	bad	n/a
804.2939453125	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
809.64794921875	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
815.24169921875	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
819.33447265625	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
823.71337890625	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
828.65966796875	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
832.2685546875	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
837.2890625	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
842.595703125	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
846.21337890625	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
850.91650390625	0.0002	electrical_stimulation	biphasic	LTG2-LTG3	6.0 mA	good	n/a
877.49560546875	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
883.2666015625	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
885.80029296875	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
890.5859375	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
895.67333984375	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
899.4169921875	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
904.22412109375	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
909.26513671875	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
912.19482421875	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
917.5595703125	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
923.06494140625	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
926.61962890625	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
933.10546875	0.0002	electrical_stimulation	biphasic	LTG3-LTG4	6.0 mA	good	n/a
968.29052734375	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
992.17578125	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1000.1259765625	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1006.84619140625	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1012.8046875	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1017.642578125	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1023.14208984375	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1029.10595703125	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1033.29833984375	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1038.9912109375	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1044.7412109375	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1051.19580078125	0.0002	electrical_stimulation	biphasic	LTG4-LTG5	6.0 mA	good	n/a
1095.70703125	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1102.421875	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1108.24560546875	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1114.60107421875	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1120.48583984375	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1124.90234375	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1129.95947265625	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1136.2939453125	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1141.255859375	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1147.18359375	0.0002	electrical_stimulation	biphasic	LTG5-LTG6	6.0 mA	good	n/a
1199.0087890625	0.0002	electrical_stimulation	biphasic	LTG6-LTG7	6.0 mA	good	n/a
1203.0498046875	0.0002	electrical_stimulation	biphasic	LTG6-LTG7	6.0 mA	good	n/a
